2020-04-09 09:54:47.668[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-09 09:54:47.697[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@8dbfffb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@f316aeb, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6aa3a905, org.springframework.test.context.support.DirtiesContextTestExecutionListener@a22cb6a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5dd1c9f2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@59b38691, org.springframework.test.context.event.EventPublishingTestExecutionListener@2e2ff723, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@324a0017, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6187d1f5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2445445a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7502291e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@17aad511]
2020-04-09 09:54:48.154[main][main] INFO  c.e.a.mapper.MessageMapperTest - Starting MessageMapperTest on LAPTOP-K0SG6Q7R with PID 27432 (started by 18262 in D:\MySelf\Study\MainMajor\SpringBoot\SpringBoot\annotation)
2020-04-09 09:54:48.154[main][main] INFO  c.e.a.mapper.MessageMapperTest - No active profile set, falling back to default profiles: default
2020-04-09 09:54:48.722[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-09 09:54:49.471[main][main] INFO  c.e.a.mapper.MessageMapperTest - Started MessageMapperTest in 1.712 seconds (JVM running for 3.339)
2020-04-09 09:54:49.837[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-09 09:54:51.219[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-04-09 09:54:51.258[main][main] INFO  c.e.a.mapper.MessageMapperTest - 插入的数据：1
2020-04-09 09:54:51.305[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=2, msgText=兔子, msgSummary=动物)
2020-04-09 09:54:51.317[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=3, msgText=小狼, msgSummary=null)
2020-04-09 09:54:51.318[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=4, msgText=梅花, msgSummary=冬天)
2020-04-09 09:54:51.318[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=5, msgText=computer, msgSummary=)
2020-04-09 09:54:51.318[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=6, msgText=兔子, msgSummary=动物)
2020-04-09 09:54:51.318[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=7, msgText=小狼, msgSummary=动物)
2020-04-09 09:54:51.319[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=8, msgText=荷花, msgSummary=夏天)
2020-04-09 09:54:51.329[main][main] INFO  c.e.a.mapper.MessageMapperTest - id为1的数据：Message(msgId=3, msgText=小狼, msgSummary=null)
2020-04-09 09:54:51.473[main][main] INFO  c.e.a.mapper.MessageMapperTest - 更新的数据条数：1
2020-04-09 09:54:51.485[main][main] INFO  c.e.a.mapper.MessageMapperTest - 更新Text的数据条数：1
2020-04-09 09:54:51.507[main][main] INFO  c.e.a.mapper.MessageMapperTest - 插入的数据条数：2
2020-04-09 09:54:51.522[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-09 09:54:51.544[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-04-09 09:57:53.196[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.annotation.mapper.MessageMapperTest], using SpringBootContextLoader
2020-04-09 09:57:53.203[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.annotation.mapper.MessageMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-09 09:57:53.204[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.annotation.mapper.MessageMapperTest]: MessageMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-09 09:57:53.371[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.annotation.AnnotationApplication for test class com.example.annotation.mapper.MessageMapperTest
2020-04-09 09:57:53.527[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-09 09:57:53.563[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@a22cb6a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5dd1c9f2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@59b38691, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2e2ff723, org.springframework.test.context.transaction.TransactionalTestExecutionListener@324a0017, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6187d1f5, org.springframework.test.context.event.EventPublishingTestExecutionListener@2445445a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7502291e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@17aad511, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@487db668, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@46944ca9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@22bac7bc]
2020-04-09 09:57:54.088[main][main] INFO  c.e.a.mapper.MessageMapperTest - Starting MessageMapperTest on LAPTOP-K0SG6Q7R with PID 220 (started by 18262 in D:\MySelf\Study\MainMajor\SpringBoot\SpringBoot\annotation)
2020-04-09 09:57:54.089[main][main] INFO  c.e.a.mapper.MessageMapperTest - No active profile set, falling back to default profiles: default
2020-04-09 09:57:54.860[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-09 09:57:56.244[main][main] INFO  c.e.a.mapper.MessageMapperTest - Started MessageMapperTest in 2.604 seconds (JVM running for 4.339)
2020-04-09 09:57:56.687[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-09 09:57:57.608[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-04-09 09:57:57.643[main][main] INFO  c.e.a.mapper.MessageMapperTest - 插入的数据：1
2020-04-09 09:57:57.690[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=2, msgText=兔子, msgSummary=动物)
2020-04-09 09:57:57.702[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=3, msgText=小狼, msgSummary=null)
2020-04-09 09:57:57.703[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=4, msgText=梅花, msgSummary=冬天)
